Product ID;Product Category;Product Subcategory;Product Name;Product Description;Product Price;Product Weight;Product Size;Order ID;Customer ID;Order Date;Order Status;Order Quantity;Order Total;Payment Method
1066;Touring Bikes;Folding;FoldAway 2000;Advanced folding touring bike;1800.00;28.0;L;2066;3066;2023-03-06;Shipped;1;1800.00;Credit Card
1067;E-Bikes;Mountain;E-TrailBlazer 1000;Electric mountain bike;3200.00;42.0;M;2067;3067;2023-03-07;Shipped;2;6400.00;PayPal
1068;E-Bikes;Mountain;E-TrailBlazer 2000;High-performance electric mountain bike;3700.00;40.0;L;2068;3068;2023-03-08;Processing;1;3700.00;Credit Card
1081;Hybrid Bikes;Commuter;CommutePro 1000;Efficient commuter hybrid bike;1200.00;27.0;M;2081;3081;2023-02-19;Shipped;2;2400.00;Credit Card
1082;Hybrid Bikes;Commuter;CommutePro 2000;High-performance commuter hybrid bike;1500.00;25.0;L;2082;3082;2023-02-20;Processing;1;1500.00;PayPal
1083;Road Bikes;Aero;AeroSpeed 1000;Aerodynamic road bike;2800.00;18.0;M;2083;3083;2023-02-21;Cancelled;3;8400.00;Credit Card
1084;Road Bikes;Aero;AeroSpeed 2000;Advanced aerodynamic road bike;3200.00;16.0;L;2084;3084;2023-02-22;Shipped;1;3200.00;Credit Card
1085;Touring Bikes;Recumbent;ReclineRider 1000;Comfortable recumbent touring bike;2000.00;33.0;M;2085;3085;2023-02-23;Processing;2;4000.00;PayPal
1086;Touring Bikes;Recumbent;ReclineRider 2000;High-performance recumbent touring bike;2400.00;30.0;L;2086;3086;2023-02-24;Shipped;1;2400.00;Credit Card
1087;Mountain Bikes;Downhill;DownhillDominator 1000;Downhill mountain bike;2900.00;34.0;M;2087;3087;2023-02-25;Shipped;2;5800.00;PayPal
1088;Mountain Bikes;Downhill;DownhillDominator 2000;High-performance downhill mountain bike;3300.00;32.0;L;2088;3088;2023-02-26;Processing;1;3300.00;PayPal
1101;Kids Bikes;Balance;LittleBalancer 1000;Starter balance bike for kids;150.00;10.0;M;2101;3101;2023-02-01;Shipped;2;300.00;Credit Card
1102;Kids Bikes;Balance;LittleBalancer 2000;Upgraded balance bike for kids;200.00;9.0;L;2102;3102;2023-02-02;Processing;1;200.00;PayPal
1103;BMX Bikes;Freestyle;FreestyleMaster 1000;Beginner freestyle BMX bike;400.00;25.0;M;2103;3103;2023-02-03;Cancelled;3;1200.00;Credit Card
1104;BMX Bikes;Freestyle;FreestyleMaster 2000;Advanced freestyle BMX bike;600.00;23.0;L;2104;3104;2023-02-04;Shipped;1;600.00;Credit Card
1105;Mountain Bikes;Cross Country;XC-Rider 1000;Cross country mountain bike;1800.00;29.0;M;2105;3105;2023-02-05;Processing;2;3600.00;PayPal
1106;Mountain Bikes;Cross Country;XC-Rider 2000;High-performance cross country bike;2400.00;27.0;L;2106;3106;2023-02-06;Shipped;1;2400.00;Credit Card
1107;Road Bikes;Endurance;EnduranceElite 1000;Endurance road bike;2100.00;20.0;M;2107;3107;2023-02-07;Shipped;2;4200.00;PayPal
1108;Road Bikes;Endurance;EnduranceElite 2000;High-performance endurance road bike;2600.00;18.0;L;2108;3108;2023-02-08;Processing;1;2600.00;Credit Card
